Jeremy Renner;Mission: Impossible - Ghost Protocol
Harrison Ford;Air Force One
Joan Cusack;Runaway Bride
Julian Sands;Killing Fields, The
Bill Paxton;Twister
Joan Plowright;101 Dalmatians
Stanley Lawrence;Ghost
John Lithgow;Rise of the Planet of the Apes
Steve Guttenberg;Three Men and a Baby
Penelope Cruz;Pirates of the Caribbean: On Stranger Tides
John Rhys-Davies;Raiders of the Lost Ark
Claudette Colbert;It Happened One Night
Christopher Carley;Gran Torino
Daniel Radcliffe;Harry Potter and the Prisoner of Azkaban
Celeste Holm;Gentlemans Agreement
Bradley Cooper;The Hangover
Charlize Theron;Hancock
Don Rickles;Toy Story 2
Liam Hemsworth;The Hunger Games
Owen Wilson;Cars 2
Matt Damon;The Bourne Supremacy
Ann Blyth;Mildred Pierce
Zachary Levi;Tangled
John Lone;Rush Hour 2
Trevor Howard;Gandhi
Garry Marshall;Chicken Little
Daniel Radcliffe;Harry Potter and the Chamber of Secrets
Nathan Jones;Troy
D.B. Sweeney;Dinosaur
John Cazale;Deer Hunter, The
Mickey Rooney;Boys Town
Val Kilmer;Batman Forever
Charles Bickford;Song of Bernadette, The
Jeff Daniels;101 Dalmatians
Carrie Fisher;Star Wars: Episode V - The Empire Strikes Back
Janet Gaynor;Seventh Heaven
Robert Pattinson;Twilight
Hermione Gingold;Gigi
Robert Stack;Written on the Wind
Spencer Tracy;Captains Courageous
Jackie Chan;The Karate Kid
Russell Crowe;L.A. Confidential
Jack Nicholson;Anger Management
Vincent Regan;300
Omar Sharif;Lawrence of Arabia
Daniel Gerroll;Chariots of Fire
Sela Ward;Fugitive, The
Julie Ann Emery;Hitch
Olga Kurylenko;Quantum of Solace
Christopher Plummer;Sound of Music, The
Johnny Depp;Pirates of the Caribbean: Dead Mans Chest
Tim Holt;Treasure of the Sierra Madre, The
Diane Keaton;Godfather: Part II, The
Robert Wuhl;Batman
Katharine Ross;Graduate, The
Cary Grant;Awful Truth, The
Will Arnett;Monsters vs Aliens
Cara Seymour;Adaptation.
Paul Pape;Saturday Night Fever
Nia Vardalos;My Big Fat Greek Wedding
Beryl Mercer;Cavalcade
Brian Haley;Gran Torino
Patrick Stewart;Chicken Little
Danny Glover;Lethal Weapon 3
Eddie Albert;Roman Holiday
Morris Carnovsky;Cyrano de Bergerac
George Segal;Whos Afraid of Virginia Woolf?
Eddie Fisher;BUtterfield 8
Mark Wahlberg;The Fighter
Linda Hamilton;Terminator 2: Judgment Day
Mike Myers;Shrek 2
Bette Davis;All About Eve
Anthony Quinn;Lawrence of Arabia
Alec Guinness;Bridge on the River Kwai, The
Cuba Gooding Jr.;As Good As It Gets
Billy Crudup;Mission: Impossible III
John Wayne;Stagecoach
Sidney Poitier;Patch of Blue, A
Giustino Durano;Vita e bella, La
Michael Caine;Cars 2
Cec Linder;Touch of Class, A
Jason Robards;All the Presidents Men
Red Buttons;They Shoot Horses, Dont They?
Tyrone Power;In Old Chicago
Thomas Mitchell;Gone with the Wind
Hayden Panettiere;Dinosaur
Bruce Willis;Armageddon
Gale Sondergaard;Life of Emile Zola, The
Vivien Leigh;Streetcar Named Desire, A
Francesca Jarvis;Lilies of the Field
Allie Mickelson;Capote
Emma Thompson;Brave
James Dean;East of Eden
Liam Neeson;Clash of the Titans
Sam Neill;Piano, The
Nicholas Farrell;Chariots of Fire
Patricia Arquette;Ed Wood
William Powell;Mister Roberts
Christopher Lloyd;Back to the Future
Carlin Glynn;Trip to Bountiful, The
Michael Berryman;One Flew Over the Cuckoos Nest
Cecil Kellaway;Harvey
Vincent Price;Song of Bernadette, The
Philip Seymour Hoffman;Scent of a Woman
George Kennedy;Airport
Benicio Del Toro;Traffic
Dylan Sprouse;Big Daddy
Adam Sandler;The Longest Yard
Cameron Diaz;Shrek Forever After
Brendan Gleeson;Cold Mountain
Kirsten Dunst;Spider-Man
Richard Benjamin;Sunshine Boys, The
Joe Morton;Terminator 2: Judgment Day
Richard Jaeckel;Come Back, Little Sheba
Meryl Streep;Deer Hunter, The
Geraldine Fitzgerald;Watch on the Rhine
Natalie Portman;Black Swan
Brian Blessed;Tarzan
Peggy Dow;Harvey
Leo Rossi;Accused, The
Robert Pattinson;New Moon
Halle Berry;X2
Gary Cooper;For Whom the Bell Tolls
John McGiver;Midnight Cowboy
Charlize Theron;Monster
Ronny Cox;Beverly Hills Cop
P.J. Johnson;Paper Moon
Montgomery Clift;From Here to Eternity
Robby Benson;Beauty and the Beast
Kevin Costner;Robin Hood: Prince of Thieves
Tim Curry;Rocky Horror Picture Show, The
Harold Russell;Best Years of Our Lives, The
Ben Cross;Chariots of Fire
Mykelti Williamson;Forrest Gump
Arnold Vosloo;Mummy Returns, The
Audrey Hepburn;My Fair Lady
Bob Peck;Jurassic Park
Lauren Bacall;Murder on the Orient Express
Carlo Ninchi;Ciociara, La
Tim Allen;Wild Hogs
Joan Crawford;Mildred Pierce
Raymond J. Barry;Dead Man Walking
Laurence Harvey;BUtterfield 8
Tia Carrere;True Lies
J. Farrell MacDonald;In Old Arizona
Ashley Johnson;What Women Want
Sean Connery;Rock, The
Murray Hamilton;Jaws
Ben Kingsley;Gandhi
Joe Brown;In Old Arizona
Emma Watson;Harry Potter and the Order of the Phoenix
Famke Janssen;X-Men: The Last Stand
Thomas Haden Church;Spider-Man 3
Barbara Baxley;Norma Rae
Giancarlo Giannini;Hannibal
Geoffrey Rush;Pirates of the Caribbean: The Curse of the Black Pearl
Ellen Burstyn;Alice Doesnt Live Here Anymore
Peter OToole;Lawrence of Arabia
Kerry Washington;Ray
Richard Gere;Chicago
Julie Andrews;Sound of Music, The
James Cagney;Mister Roberts
Tim Roth;Planet of the Apes
Elizabeth Taylor;V.I.P.s, The
Sebastian Stan;Captain America: The First Avenger
Peter Sellers;Being There
Jose Lewgoy;Kiss of the Spider Woman
Bing Crosby;Country Girl, The
Katharine Hepburn;The Lion in Winter
Joe Pantoliano;Matrix, The
Tony Sirico;Bullets Over Broadway
Graham Beckel;Paper Chase, The
Gladys Cooper;Rebecca
Eddie Deezen;The Polar Express
Rob Lowe;Austin Powers: The Spy Who Shagged Me
Jon Gries;Taken
Mary Anderson;To Each His Own
Zach Braff;Chicken Little
Alison Doody;Indiana Jones and the Last Crusade
David Schwimmer;Madagascar: Escape 2 Africa
Will Smith;Men in Black II
Billy Green Bush;Alice Doesnt Live Here Anymore
Joan Leslie;Sergeant York
James Cagney;Yankee Doodle Dandy
Michael Strong;Patton
Eunice Cho;Ice Age: Dawn of the Dinosaurs
Barbara Hershey;Hannah and Her Sisters
Wallace Beery;Champ, The
Kerry Walker;Piano, The
Kevin Bacon;Few Good Men, A
Dorothy McGuire;Tree Grows in Brooklyn, A
William Boyd;Two Arabian Knights
Emma Watson;Harry Potter and the Deathly Hallows: Part 1
Jack Black;Kung Fu Panda
Meryl Streep;The Iron Lady
Geoffrey Rush;Shine
Kevin James;Hitch
Mischa Auer;You Cant Take It with You
Vladimir Sokoloff;For Whom the Bell Tolls
Jean Reno;Godzilla
Jeff Bridges;TRON: Legacy
Tom Wilkinson;Michael Clayton
Jeanne Crain;Letter to Three Wives, A
Cameron Diaz;Theres Something About Mary
Chuck Pfeiffer;Wall Street
Alec Baldwin;The Aviator
Jake Gyllenhaal;The Day After Tomorrow
Fred MacMurray;Apartment, The
Lee Evans;Theres Something About Mary
Mila Kunis;Black Swan
Paul Muni;Story of Louis Pasteur, The
Mary Steenburgen;The Proposal
Ingrid Bergman;Cactus Flower
Mickey Rooney;Night at the Museum
Ossie Davis;Dinosaur
Geoffrey Rush;Pirates of the Caribbean: On Stranger Tides
Sissy Spacek;Affliction
Hugh Jackman;X-Men
Derrick OConnor;Lethal Weapon 2
Jessica Lange;Tootsie
Katherine Heigl;Knocked Up
Dustin Hoffman;Kung Fu Panda 2
Richard Harris;Gladiator
George Bancroft;Mr. Deeds Goes to Town
Kevin Spacey;L.A. Confidential
Charles Buddy Rogers;Wings
Robert Wagner;Austin Powers in Goldmember
Ian Holm;Ratatouille
Joe Pantoliano;Fugitive, The
Bill Anderson Jr.;Coal Miners Daughter
Mark Wahlberg;Planet of the Apes
Daniel London;Patch Adams
Dominique Louis;The Incredibles
Prunella Scales;Howards End
James Franco;Spider-Man 3
John Spencer;Rock, The
Vince Vaughn;Wedding Crashers
John Heard;Home Alone
Alexander DArcy;Awful Truth, The
Raymond J. Barry;Born on the Fourth of July
Debra Winger;Officer and a Gentleman, An
Humphrey Bogart;Casablanca
Judith Hoag;Teenage Mutant Ninja Turtles
Robert Duvall;Godfather, The
Emma Watson;Harry Potter and the Goblet of Fire
Jack Palance;City Slickers
Rachel McAdams;Wedding Crashers
Eugene Levy;Bringing Down the House
Lilia Skala;Charly
Kevin J. OConnor;The Mummy
Joanne Dru;All the Kings Men
Justin Braine;Shine
Dabney Coleman;On Golden Pond
Sebastian Cabot;Jungle Book, The
Angelina Jolie;Shark Tale
John Gielgud;Gandhi
Wanda Sykes;Over the Hedge
Jo Van Fleet;East of Eden
Tom Hanks;Toy Story 3
Hiroyuki Sanada;Rush Hour 3
Gary Sinise;Ransom
Jeremy Davies;Saving Private Ryan
Tilda Swinton;Adaptation.
Paul Scofield;Man for All Seasons, A
Sam Neill;Jurassic Park
Alexandra Astin;Lord of the Rings: The Return of the King, The
Lauren Bacall;Key Largo
Phyllis Boyens;Coal Miners Daughter
Billy Burke;The Twilight Saga: Breaking Dawn - Part 1
Kerry Washington;The Last King of Scotland
William Holden;Country Girl, The
Paul J. Lombardi;Fisher King, The
Don Saxon;Subject Was Roses, The
Alison Whelan;My Left Foot
Antonio Banderas;Shrek 2
Joseph Williams;Lion King, The
Karl Malden;Patton
Betsy Blair;Marty
Donald Sutherland;Ordinary People
Penelope Ann Miller;The Artist
Cher;Moonstruck
Giovanni Ribisi;Ted
Dwayne Hickman;Cat Ballou
Barbara Harris;Thousand Clowns, A
Emily Mortimer;Cars 2
Harrison Ford;Indiana Jones and the Last Crusade
Sandy Nelson;Braveheart
Rhys Ifans;The Amazing Spider-Man
Matthew Braden Stringer;There Will Be Blood
Elizabeth Taylor;Place in the Sun, A
Elizabeth Taylor;Whos Afraid of Virginia Woolf?
Jason Davis;Talladega Nights: The Ballad of Ricky Bobby
Mark Wahlberg;The Departed
Clea DuVall;Girl, Interrupted
Arturo de Cordova;For Whom the Bell Tolls
Max von Sydow;Minority Report
Joel McCrea;Come and Get It
Ben Affleck;Armageddon
William H. Macy;Wild Hogs
Rachel McAdams;Sherlock Holmes
Robbie Coltrane;Brave
Chris ODonnell;Batman Forever
Jane Fonda;Julia
William Holden;Bridge on the River Kwai, The
Maureen Lipman;Pianist, The
David Schwimmer;Madagascar 3: Europes Most Wanted
Leonardo DiCaprio;The Aviator
Tommy Lee Jones;No Country for Old Men
Christopher Evan Welch;Vicky Cristina Barcelona
Matt Dillon;Theres Something About Mary
Heather Graham;Austin Powers: The Spy Who Shagged Me
Daniel Radcliffe;Harry Potter and the Goblet of Fire
Fritz Wepper;Cabaret
Owen Wilson;Cars
Chiwetel Ejiofor;2012
Alan Alda;California Suite
Tony Lo Bianco;French Connection, The
Craig T. Nelson;The Incredibles
